stock_id,name,ticker,country,currency,sector,industry,sub_industry,beta,avg_daily_volume,side,posn_shares,cost_basis_local,market_price_local
1,equity_1,AGI,DEU,EUR,Information Technology,Software & Services,Systems Software,1.735624381,10043,SHORT,-4810,145.19,147.06
2,equity_2,PWH,RUS,USD,Consumer Staples,Food Beverage & Tobacco,Meat Poultry & Fish,0.675354356,640830,LONG,38342,112.48,100.28
3,equity_3,NDE,DEU,USD,Industrials,Capital Goods,Heavy Electrical Equipment,0.699394081,36094,SHORT,-19881,43.36,41.56
4,equity_4,ABB,USA,USD,Financials,Insurance,Reinsurance,2.215078774,135786553,SHORT,-100194,24.79,26.38
5,equity_5,WRF,RUS,USD,Utilities,Utilities,Electric Utilities,1.259132691,26094,LONG,3963,149.9,149.53
6,equity_6,VBV,USA,CAD,Financials,Real Estate,Industrial REITs,1.07479047,52863,SHORT,-10966,166.82,148.67
7,equity_7,GRN,JPN,JPY,Consumer Discretionary,Retailing,Home Improvement Retail,1.141807498,142859,LONG,14146,19495.18,20153.04
8,equity_8,BUX,FIN,EUR,Materials,Materials,Fertilizers & Agricultural Chemicals,7.20547544,4203,LONG,1572,159.21,174.79
9,equity_9,TPV,GRC,EUR,Financials,Diversified Financials,Investment Banking & Brokerage,1.475839645,3459,SHORT,-9840,175.61,171.91
10,equity_10,YEB,AUS,AUD,Information Technology,Software & Services,Internet Software & Services,0.838624738,40161,LONG,18643,60.15,63.93
11,equity_11,DWL,BEL,EUR,Industrials,Transportation,Marine,1.066920476,135071162,LONG,15756,13.06,12.94
12,equity_12,EXG,GRC,EUR,Health Care,Health Care Equipment & Services,Managed Health Care,0.765051606,47525,LONG,169,67.69,67.44
13,equity_13,VXH,USA,USD,Information Technology,Technology Hardware & Equipment,Electronic Components,1.595368976,1183,SHORT,-1941,171.93,174.39
14,equity_14,REN,CHE,CHF,Health Care,Health Care Equipment & Services,Health Care Distributors,0.672511604,46730558,LONG,5203,57.57,60.68
15,equity_15,ISE,NLD,EUR,Information Technology,Technology Hardware & Equipment,Electronic Manufacturing Services,1.914704447,12889367,SHORT,-1386,133.26,145.18
16,equity_16,CTT,ESP,EUR,Materials,Materials,Precious Metals & Minerals,1.010577045,668,LONG,910,85.82,88.3
17,equity_17,XFF,RUS,USD,Industrials,Transportation,Airport Services,1.307676735,43602,LONG,5515,47.56,54.13
18,equity_18,USG,RUS,USD,Financials,Real Estate,Diversified Real Estate Activities,0.611219499,10657421,SHORT,-11026,127.97,141.18
19,equity_19,AUZ,AUS,AUD,Industrials,Commercial Services & Supplies,Diversified Support Services,0.888042488,319773,LONG,318,44.73,44.47
